Thesis_Codebook_InDatasetOrder
Variable Name,Description,Values & Coding
Addiction,One of nine listed issues for Rural Americans ,"1 = Mentioned, 0 = Not mentioned"
Healthcare,One of nine listed issues for Rural Americans ,"1 = Mentioned, 0 = Not mentioned"
Rural_development,One of nine listed issues for Rural Americans ,"1 = Mentioned, 0 = Not mentioned"
Wealth_inequality,One of nine listed issues for Rural Americans ,"1 = Mentioned, 0 = Not mentioned"
Unions,"Ability to unionize, One of nine listed issues for Rural Americans ","1 = Mentioned, 0 = Not mentioned"
Ag_investments,"Agricultural investments, One of nine listed issues for Rural Americans ","1 = Mentioned, 0 = Not mentioned"
Good_job,One of nine listed issues for Rural Americans ,"1 = Mentioned, 0 = Not mentioned"
Out_of_touch,"Reason respondent thinks Democrats fail, out of touch with rural needs ","1 = Mentioned, 0 = Not mentioned"
Cities,"Reason respondent thinks Democrats fail, too focused on cities ","1 = Mentioned, 0 = Not mentioned"
Pronouns,"Reason respondent thinks Democrats fail, too concerned with identity politics ","1 = Mentioned, 0 = Not mentioned"
Lack_of_effort,"Reason respondent thinks Democrats fail, do not try to connect with rural voters ","1 = Mentioned, 0 = Not mentioned"
Party.registration.numeric,Categorical variable representing how respondents reported their official party registration status (if registered). Recoded into numeric values for analysis.,"0 = Republican
1 = Independent
2 = Democrat
3 = None"
Self.identified.partisanship.numeric,Categorical variable representing how respondents reported their self reported partisanship. Recoded into numeric values for analysis.,"0 = Republican
1 = Independent
2 = Democrat
3 = None
4 = Other "
Education.group,Collapsed categorical variable representing the respondent’s highest level of formal education. Recoded from detailed education responses into three broader education groups for analysis.,"1 = No College (e.g., high school diploma or less)
2 = Some College (e.g., some college, associate’s degree, vocational training)
3 = College or Graduate Degree (e.g., Bachelor’s, Master’s, PhD, or professional degree)"
income.numeric,Leveled income variable ,"0 = Less than $10,000
1 = $10,000–$19,999
2 = $20,000–$29,999
3 = $30,000–$39,999
4 = $40,000–$49,999
5 = $50,000–$59,999
6 = $60,000–$69,999
7 = $70,000–$79,999
8 = $80,000–$89,999
9 = $90,000–$99,999
10 = $100,000–$149,999
11 = $150,000 or more"
employment.binary,Working currently,"1 = Yes, 0 = No"
age,Respondent's age ,2025-Year.of.birth variable= age 
